line,stage,item,spec,qty,vendor_candidates,verify_at_order,blocked_by,status,po_ref,ordered_date,received_date,coo_lot,as_received_notes
S0-01,P0-A0,Print feedstock — PETG baseline,PETG; PA12 alternative if print service used,1 spool,Local / print service,Record material manufacturer + lot on the build sheet; funnel wall 1.2 mm nominal is a starting section and the real part gets weighed,,TO ORDER,,,,,
S0-02,P0-A0,"Mast stock, Ø3 mm GFRP/CFRP","Ø3 mm nominal; buy stock length, cut from physical fit",1 length,Dual source,Qualify at least two non-PRC sources before any flight lot; record COO/lot,,TO ORDER,,,,,
S0-03,P0-A0,"M3 fasteners, metal inserts, washers",Assortment; inserts where print bearing stress requires them,assortment,Dual source,Commodity; qualify non-PRC alternate for flight lot,,TO ORDER,,,,,
S0-04,P0-A0,Keeper guide stock,Rigid guides + closed end-stop react retention load; the servo does not,as required,Dual source,Guides and stop are the load path — do not substitute compliant material,,TO ORDER,,,,,
S0-05,P0-A1,"Drive pins, Ø3 mm dowel","2 off (crank-link, link-keeper) + spares, with positive retention: clip, e-ring or shouldered screw",2 + 4 spare,Dual source,A plain press fit is NOT acceptable — P0-DRIVE-006 exists because a press fit that migrates over 600 cycles is a mid-campaign failure,,TO ORDER,,,,,
S0-06,P0-A1,DYNAMIXEL XL330-M288-T,"ROBOTIS 902-0163-000; 3.7-6.0 V, 5 V recommended; ~0.52 N·m stall, ~1.5 A stall at 5 V",1 + 1 spare,ROBOTIS,Verify COO/lot (official listing states Korea). Mounted on a swappable bracket so it cannot become an architecture decision,,TO ORDER,,,,,
S0-07,P0-A1,OpenRB-150 bench controller,"Dedicated TTL DYNAMIXEL ports; ground equipment, not carried mass",1,ROBOTIS,Verify COO/lot. USB input limited to 500 mA — below XL330 stall; actuator power must come from the external supply,,TO ORDER,,,,,
S0-08,P0-A1,"Bench supply, current-limited 5 V >=3 A",Ground equipment; feeds actuator/controller per OpenRB manual,1,Local,Must have a settable current limit — it is set BEFORE first keeper motion,,TO ORDER,,,,,
S0-09,P0-A1,Servo-rail bulk capacitor 1000 uF >=16 V low-ESR,"Fitted at the servo connector, not at the supply",1 + 1 spare,Dual source,16 V on a 5 V rail is a 3.2x derate. Covers ~170 us of stall inrush within 0.25 V; it cannot hold a sustained stall and is not meant to,,TO ORDER,,,,,
S0-10,P0-A1,S1/S2 switch assortment — gold contacts,"Omron D2F-01 family (gold alloy, 1 mA at 5 VDC min applicable load, 0.5 g). Buy 2 each of: 1.47 N standard, 0.74 N (F), and a lever variant",6 (2 x 3 variants),Omron,"FROZEN: gold alloy or gold crosspoint, published min applicable load <=1 mA at 5 VDC. Silver-alloy variants are PROHIBITED on logic-level sensing. OPEN: operating force and actuator style — the assortment exists so the A0 S1 actuation-force measurement decides, not a guess",,TO ORDER,,,,,
S0-11,P0-A1,"Pull-up resistors, both candidate values","1.0 kohm and 680 ohm, 1% 0.125 W",10 each,Dual source,Buy both values. 1.0 k on 3.3 V gives 3.30 mA (2.2x the ~1.5 mA micro-load boundary); fit 680 ohm if the as-built measurement is below 3.0 mA. Internal MCU pull-ups are prohibited here,,TO ORDER,,,,,
S0-12,test equipment,"Force gauge, 0-20 N","Must resolve the 1 N lateral screen and 5 N axial screen with margin, and read insertion/release force per run-in cycle",1,Local,"Resolution and accuracy at 1 N are the binding requirement, not full-scale range",,TO ORDER,,,,,
S0-13,test equipment,Dial indicator,Measures delivered keeper stroke against the 13.0 mm the crank geometry should produce,1,Local,Stroke is measured AT THE KEEPER. A stroke measured at the servo is not the stroke the mechanism has,,TO ORDER,,,,,
S0-14,test equipment,Calipers / micrometer,Every as-built dimension is recorded before assembly,1,Local,"Must resolve the reject bands in assembly.md: +/-0.3 mm on throat and belt, -0.3 mm on the Ø9 seat, -0.5 mm on the 5.2 mm slot",,TO ORDER,,,,,
S0-15,test equipment,Oscilloscope access,Needed for the servo-rail transient capture that decides the hold-up island,1,Existing / borrowed,CONFIRM AVAILABILITY rather than purchase. Without this capture the hold-up island cannot be dispositioned either way,,CONFIRM ACCESS,,,,,
B-01,P0-A1,Fault-insertion relay board,"Signal relays / analog switches rated for dry-circuit switching, one per fault path; separately powered; hardware master-enable; must never be able to command motion",1,Dual source,,Switch variant AND pull-up value must freeze first (docs/electrical-evidence.md),BLOCKED,,,,,
B-02,P0-A1,Controller-side hold-up island (Schottky + 470 uF),Conditional fit,0,Dual source,,Servo-rail transient scope capture (S0-15). Do not order before it; record a decision not to fit if that is the outcome,BLOCKED,,,,,
B-03,P0-A1,Second-source switch — ZF/Cherry DB3,"0.1 A low-energy series, AuAgPt crosspoint listed",0,ZF/Cherry,,NOT QUALIFIED until minimum applicable load and the gold order-code digit are confirmed with the vendor,BLOCKED,,,,,
B-04,P0-A1,"S1 harness connector, 3-position keyed",Dedicated to S1; never a housing shared with S2,1,Dual source,,"Stage 3 — after the switch variant freezes. Target >=1 A contacts, >=50 mating cycles; verify at order",BLOCKED,,,,,
B-05,P0-A1,"S2 harness connector, 4-position keyed, one position blanked",Position count differs from S1 deliberately — that difference IS the keying; colour coding does not count,1,Dual source,,Stage 3 — after the switch variant freezes,BLOCKED,,,,,
B-06,flight,Flight probe base + sacrificial breakaway feature,Breakaway load is TBD by physical test,0,Aiur,,Physical test. NOT required for the P0-A gate — this must not block the bench campaign,BLOCKED / NOT GATING,,,,,
