line,stage,item,spec,qty,vendor_candidates,verify_at_order,blocked_by,status,po_ref,ordered_date,received_date,coo_lot,as_received_notes
S0-01,A0,Flight computer,Raspberry Pi Zero 2 W class + 32 GB microSD (A2 class),1 + 2 cards,Raspberry Pi resellers,Record the board revision; image hash goes in the bench manifest,,TO ORDER,,,,,
S0-02,A0,Imager sensor board,Sony IMX477 1/2.3-inch module with M12 mount,1,Arducam or equivalent,Confirm M12 mount and the 1.55 um pixel pitch on the sheet; a CSI cable long enough for the port wall,,TO ORDER,,,,,
S0-03,A0,Lens,16 mm M12 lens sized for a 1/2.3-inch sensor,1,M12 lens vendors,Focal length 16 mm nominal; confirm image circle covers the sensor; focus lock screw,,TO ORDER,,,,,
S0-04,A0,GNSS module + patch antenna,u-blox MAX-M10S or NEO-M9N breakout with 25 mm patch,1,u-blox resellers,Airborne <4g dynamic model must be settable and readable back; altitude limit 80 km on the sheet,,TO ORDER,,,,,
S0-05,A0,LoRa module pair,SX1276-class 868/915 MHz breakout with wire antenna (flight) and SMA (ground),2,LoRa breakout vendors,Band legal for the launch country; one flies one is the ground station,,TO ORDER,,,,,
S0-06,A0,Main bus cells,Energizer L91 Ultimate Lithium AA,8 (4 fly + 4 for the soak),Any,Lot recorded; -40 degC rating on the sheet; not alkaline,,TO ORDER,,,,,
S0-07,A0,Cutdown parts,Nichrome 32 AWG + logic-level N-MOSFET + 4-cell AA holder for the termination bus,1 set,Electronics distributors,MOSFET gate threshold below 3 V; nichrome length from a bench burn test,,TO ORDER,,,,,
S0-08,A0,Independent timer parts,ATtiny or 555-class timer board on its own 2 x L91,1 set,Electronics distributors,Timer runs from the arming pin only; no reset from the computer,,TO ORDER,,,,,
S0-09,A0,Arming pin,Remove-before-flight pin with a switch,1,Any,Switch must inhibit the cutdown gate in hardware,,TO ORDER,,,,,
S0-10,A0,IMU,6-axis MEMS breakout on I2C,1,Any,Frame tagging only; not in the safety path,,TO ORDER,,,,,
S0-11,A0,Enclosure stock,XPS insulation board 20 mm x 600 x 1250,1 sheet,Builders merchant,Density on the sheet (30-series XPS ~32 kg/m3); no foil facing,,TO ORDER,,,,,
S0-12,A0,Camera window,Acrylic 1.5 mm offcut,1,Any,Optically clear; cut to the port,,TO ORDER,,,,,
S0-13,A0,Load line,Braided nylon or Dacron rated <= 40 lbf,10 m,Any,Rated strength on the spool must be under 50 lbf (14 CFR 101.1(a)(4)(iv)),,TO ORDER,,,,,
S0-14,A0,Parachute,48 in round canopy with shroud lines,1,Balloon/rocketry vendors,Drag-reference area >= 0.73 m2 per aiur.strato; drop test decides,,TO ORDER,,,,,
S0-15,A0,Wiring and mounting,Silicone wire 24-26 AWG; foam-safe adhesive; hook-and-loop,1 set,Any,No solvent adhesives on XPS,,TO ORDER,,,,,
S0-16,bench,Scale,Reads to 1 g to 3 kg,1,Any,Zero with the cradle; used for every mass in the BOM,,TO ORDER,,,,,
S0-17,bench,Spring scale,0-5 kg for neck lift,1,Any,Neck lift is measured not computed,,TO ORDER,,,,,
S0-18,bench,Chamber thermistor logger,Two-channel logger to -70 degC,1,Any,One probe on the electronics one on the chamber air,,TO ORDER,,,,,
S0-19,bench,Cold chamber access,Chest freezer to -60 degC or dry-ice box,1,Rental or lab access,Must hold <= -60 degC for 4 h; log the chamber not the setpoint,,TO ORDER,,,,,
S0-20,A1,Independent tracker,APRS 2 m tracker or Iridium SBD beacon on 2 x L91,1,Per DEC-TRACKER,Licence or subscription in hand before order,DEC-TRACKER,BLOCKED,,,,,
S0-21,A1,Radar reflector,Corner reflector if the rule requires one,1,Per DEC-JURISDICTION,Carried only where required; adds mass and a face,DEC-JURISDICTION,BLOCKED,,,,,
S0-22,A1,Sounding balloon,1200 g latex (Hwoyee HY-1200 or Kaymont KCI-1200),2,Balloon vendors,Lot sheet with burst diameter; size may change if the rule caps the package differently,DEC-JURISDICTION,BLOCKED,,,,,
S0-23,A1,Helium,Balloon-grade helium ~3 m3 per flight,2 fills,Gas supplier,Cylinder chained upright at the site; regulator with a fill nozzle,DEC-JURISDICTION,BLOCKED,,,,,
