stage,subsystem,item,candidate,quantity,carried,nominal_mass_g_each,spec_status,source,notes
S0-A,lift,1200 g latex sounding balloon,Hwoyee HY-1200 or Kaymont KCI-1200,1,yes,1200,published mass class; burst diameter from the lot sheet,vendor sheet for the lot flown,"Model uses 8.63 m burst diameter; the lot sheet governs. Not part of the payload package"
S0-C,lift,Helium fill,Balloon-grade helium,3 m3 at launch,no,,model,aiur/strato.py launch_volume_m3,"2.79 m3 for 0.9 kg free lift plus ~8 % fill margin; measure neck lift, not volume"
S0-A,descent,Round parachute,48 in round canopy class,1,yes,60,allocation,aiur/strato.py canopy_area_for_landing_m2,"Needs >= 0.73 m2 drag-reference area for <= 5 m/s at sea level with an 850 g package; drop test decides (S0-A)"
S0-A,rigging,Load line and weak link,Braided nylon or Dacron rated <= 40 lbf,4 m,yes,20,allocation,14 CFR 101.1(a)(4)(iv),"Must separate below 50 lbf; two loops around the enclosure, never into it"
S0-A,compute,Flight computer,Raspberry Pi Zero 2 W class + microSD,1,yes,12,approx. published; verify on the scale,https://www.raspberrypi.com/products/raspberry-pi-zero-2-w/,"Runs aiur.flight_supervisor; not in the termination path"
S0-A,imaging,Imager,Sony IMX477 1/2.3-inch module + 16 mm M12 lens,1,yes,35,sensor geometry published (1.55 um pixel; 6.287 x 4.712 mm); mass allocation,https://www.sony-semicon.com/en/products/is/index.html,"1.94 m nadir GSD and 7.9 x 5.9 km frame at 20 km (aiur/strato.py Optic). A stock Camera Module 3 gives ~5.9 m and fails S0-OBS-002"
S0-A,imaging,Camera window,Acrylic 1.5 mm inside the port,1,yes,5,allocation,,"Fogging is a cold-chamber finding, not a flight one"
S0-A,navigation,GNSS receiver + patch antenna,u-blox MAX-M10S or NEO-M9N module,1,yes,10,operational altitude limit 80 km published; mass allocation,https://www.u-blox.com/,"Set the airborne <4g dynamic model; a consumer receiver caps altitude and would report nothing above it"
S0-A,navigation,IMU,6-axis MEMS on the computer bus,1,yes,2,allocation,,"Attitude for frame tagging only; no control use"
S0-A,link,Primary telemetry radio,SX1276-class LoRa module 868/915 MHz + wire antenna,1,yes,15,allocation,,"30 s telemetry and thumbnails; link margin measured on S0-A, not computed"
S0-A,link,Independent tracker,APRS 2 m tracker or Iridium SBD beacon on its own cells,1,yes,40,allocation,,"Second position source (HAZ-015). APRS needs an amateur licence; satellite beacon needs a plan. Jurisdiction decides"
S0-A,power,Main bus cells,Energizer L91 Ultimate Lithium AA,4,yes,15,published: -40 to 60 degC operating; ~15 g; 1.5 V,https://data.energizer.com/pdfs/l91.pdf,"~30 Wh needed (aiur/strato.py sounding_battery_wh); cold-capacity fraction measured on S0-A"
S0-A,power,Termination and tracker cells,Energizer L91 Ultimate Lithium AA,2,yes,15,published,https://data.energizer.com/pdfs/l91.pdf,"Separate from the main bus by design (HAZ-016)"
S0-A,termination,Cutdown,Nichrome burn-wire loop on the load line + logic-level MOSFET,1,yes,10,allocation,,"Fired by the computer OR the hardware timer; latched by design"
S0-A,termination,Independent timer,Hardware timer (ATtiny or 555 class) started by the arming pin,1,yes,15,allocation,aiur/flight_supervisor.py IndependentTimer,"Demonstrated with the computer unpowered (S0-A termination_verified_with_payload_computer_off)"
S0-A,termination,Arming pin,Remove-before-flight pin with switch,1,yes,5,allocation,,"Hardware inhibit: nothing fires with the pin in"
S0-A,structure,Enclosure,20 mm XPS foam; six panels per the generated cut sheet,1,yes,58,generator estimate at 32 kg/m3,hardware/strato/cad/generated/strato_package_rev_a_manifest.json,"170 x 140 x 120 mm exterior; smallest face 26 in2; 1.36 oz/in2 at 1.0 kg"
S0-A,structure,Wiring and mounting,Silicone wire; foam-safe adhesive; hook-and-loop,1,yes,30,allocation,,
S0-A,identity,Contact card and label,Return request; phone; 'harmless scientific package' text per jurisdiction,1,yes,3,allocation,,"Outside face; HAZ-015 mitigation"
S0-C,ground,Ground station,LoRa receiver + laptop + directional antenna,1,no,,not carried,,"Receive log is the primary telemetry evidence"
S0-C,ground,Radar reflector,Corner reflector if the jurisdiction requires one,1,per jurisdiction,,not decided,,"Carried only where required; adds mass and a face"
